Anio,Mes,Dia,Hora,Descripcion,CotizacionesUnicas,Cotizaciones
2023,2,6,23,XYZ,3,4
2023,2,6,23,XYZ WEB,89,108
2023,2,6,22,XYZ WEB,57,80
2023,2,6,21,XYZ,1,1
2023,2,6,21,XYZ WEB,42,58
2023,2,6,20,XYZ,5,5
2023,2,6,20,XYZ WEB,51,65
2023,2,6,19,XYZ,6,6
2023,2,6,19,XYZ WEB,47,74
2023,2,6,18,XYZ,3,7
2023,2,6,18,XYZ WEB,31,42
2023,2,6,17,XYZ,9,9
2023,2,6,17,XYZ WEB,65,92
2023,2,6,16,XYZ,5,7
2023,2,6,16,XYZ WEB,77,103
2023,2,6,15,XYZ,5,8
2023,2,6,15,XYZ WEB,66,79
2023,2,6,14,XYZ,13,13
2023,2,6,14,XYZ WEB,35,41
2023,2,6,13,XYZ,13,14
2023,2,6,13,XYZ WEB,61,86
2023,2,6,12,XYZ,2,2
2023,2,6,12,XYZ WEB,97,136
2023,2,6,11,XYZ,3,5
2023,2,6,11,XYZ WEB,52,65
2023,2,6,10,XYZ,2,2
2023,2,6,10,XYZ WEB,51,77
2023,2,6,9,XYZ WEB,27,52
2023,2,6,8,XYZ WEB,37,63
2023,2,6,7,XYZ WEB,17,31
2023,2,6,6,XYZ WEB,8,12
2023,2,6,5,XYZ WEB,1,2
2023,2,6,4,XYZ WEB,5,5
2023,2,6,3,XYZ WEB,3,4
2023,2,6,2,XYZ WEB,7,11
2023,2,6,1,XYZ WEB,29,42
2023,2,6,0,XYZ WEB,50,82
2023,2,5,23,XYZ WEB,61,97
2023,2,5,22,XYZ WEB,73,115
2023,2,5,21,XYZ WEB,83,100
2023,2,5,20,XYZ WEB,58,84
2023,2,5,19,XYZ WEB,62,107
2023,2,5,18,XYZ,1,1
2023,2,5,18,XYZ WEB,63,82
2023,2,5,17,XYZ WEB,63,93
2023,2,5,16,XYZ,1,1
2023,2,5,16,XYZ WEB,43,63
2023,2,5,15,XYZ WEB,56,74
2023,2,5,14,XYZ,1,1
2023,2,5,14,XYZ WEB,41,54
2023,2,5,13,XYZ WEB,53,88
2023,2,5,12,XYZ,1,1
2023,2,5,12,XYZ WEB,143,189
2023,2,5,11,XYZ WEB,62,83
2023,2,5,10,XYZ,1,1
2023,2,5,10,XYZ WEB,47,65
2023,2,5,9,XYZ WEB,25,27
2023,2,5,8,XYZ,1,1
2023,2,5,8,XYZ WEB,20,24
2023,2,5,7,XYZ WEB,9,11
2023,2,5,6,XYZ WEB,1,1
2023,2,5,5,XYZ WEB,1,2
2023,2,5,4,XYZ WEB,4,7
2023,2,5,3,XYZ WEB,4,4
2023,2,5,2,XYZ WEB,12,23
2023,2,5,1,XYZ WEB,25,34
2023,2,5,0,XYZ WEB,38,42
2023,2,4,23,XYZ WEB,30,44
2023,2,4,22,XYZ WEB,41,70
2023,2,4,21,XYZ WEB,37,55
2023,2,4,20,XYZ WEB,34,41
2023,2,4,19,XYZ,9,9
2023,2,4,19,XYZ WEB,28,35
2023,2,4,18,XYZ,1,1
2023,2,4,18,XYZ WEB,41,65
2023,2,4,17,XYZ WEB,32,40
2023,2,4,16,XYZ,4,4
2023,2,4,16,XYZ WEB,55,64
2023,2,4,15,XYZ,7,7
2023,2,4,15,XYZ WEB,42,68
2023,2,4,14,XYZ,1,1
2023,2,4,14,XYZ WEB,45,55
2023,2,4,13,XYZ WEB,46,57
2023,2,4,12,XYZ,1,1
2023,2,4,12,XYZ WEB,54,70
2023,2,4,11,XYZ,1,1
2023,2,4,11,XYZ WEB,67,84
2023,2,4,10,XYZ,6,8
2023,2,4,10,XYZ WEB,37,42
2023,2,4,9,XYZ WEB,22,27
2023,2,4,8,XYZ,1,1
2023,2,4,8,XYZ WEB,25,33
2023,2,4,7,XYZ WEB,6,9
2023,2,4,6,XYZ WEB,2,2
2023,2,4,5,XYZ WEB,13,18
2023,2,4,4,XYZ WEB,3,4
2023,2,4,3,XYZ WEB,9,9
2023,2,4,2,XYZ WEB,6,10
2023,2,4,1,XYZ WEB,28,34
2023,2,4,0,XYZ WEB,34,42
2023,2,3,23,XYZ WEB,40,54
2023,2,3,22,XYZ WEB,47,61
2023,2,3,21,XYZ WEB,52,93
2023,2,3,20,XYZ WEB,31,42
2023,2,3,19,XYZ WEB,29,57
2023,2,3,18,XYZ,1,1
2023,2,3,18,XYZ WEB,54,73
2023,2,3,17,XYZ WEB,37,57
2023,2,3,16,XYZ,1,1
2023,2,3,16,XYZ WEB,34,47
2023,2,3,15,XYZ WEB,54,85
2023,2,3,14,XYZ,3,7
2023,2,3,14,XYZ WEB,49,66
2023,2,3,13,XYZ,10,26
2023,2,3,13,XYZ WEB,58,82
2023,2,3,12,XYZ,2,4
2023,2,3,12,XYZ WEB,88,120
2023,2,3,11,XYZ,1,1
2023,2,3,11,XYZ WEB,34,43
2023,2,3,10,XYZ,4,7
2023,2,3,10,XYZ WEB,26,50
2023,2,3,9,XYZ WEB,53,96
2023,2,3,8,XYZ,1,1
2023,2,3,8,XYZ WEB,26,29
2023,2,3,7,XYZ WEB,20,24
2023,2,3,6,XYZ WEB,7,7
2023,2,3,5,XYZ WEB,3,3
2023,2,3,4,XYZ WEB,4,4
2023,2,3,3,XYZ WEB,4,5
2023,2,3,2,XYZ WEB,9,13
2023,2,3,1,XYZ WEB,22,27
2023,2,3,0,XYZ WEB,26,38
2023,2,2,23,XYZ WEB,76,100
2023,2,2,22,XYZ WEB,57,81
2023,2,2,21,XYZ WEB,50,74
2023,2,2,20,XYZ WEB,39,59
2023,2,2,19,XYZ WEB,89,120
2023,2,2,18,XYZ,2,2
2023,2,2,18,XYZ WEB,39,52
2023,2,2,17,XYZ,1,11
2023,2,2,17,XYZ WEB,44,73
2023,2,2,16,XYZ,2,17
2023,2,2,16,XYZ WEB,63,92
2023,2,2,15,XYZ WEB,60,85
2023,2,2,14,XYZ,1,1
2023,2,2,14,XYZ WEB,42,60
2023,2,2,13,XYZ,2,10
2023,2,2,13,XYZ WEB,46,66
2023,2,2,12,XYZ,3,7
2023,2,2,12,XYZ WEB,60,86
2023,2,2,11,XYZ,1,5
2023,2,2,11,XYZ WEB,53,78
2023,2,2,10,XYZ,4,11
2023,2,2,10,XYZ MOVIL,1,1
2023,2,2,10,XYZ WEB,25,32
2023,2,2,9,XYZ,2,14
2023,2,2,9,XYZ WEB,32,46
2023,2,2,8,XYZ,1,1
2023,2,2,8,XYZ WEB,25,33
2023,2,2,7,XYZ,1,8
2023,2,2,7,XYZ WEB,14,15
2023,2,2,6,XYZ WEB,3,4
2023,2,2,5,XYZ WEB,4,6
2023,2,2,4,XYZ WEB,3,5
2023,2,2,3,XYZ WEB,27,34
2023,2,2,2,XYZ WEB,11,13
2023,2,2,1,XYZ WEB,35,47
2023,2,2,0,XYZ WEB,17,18
2023,2,1,23,XYZ WEB,45,54
2023,2,1,22,XYZ WEB,63,75
2023,2,1,21,XYZ WEB,45,63
2023,2,1,20,XYZ WEB,40,51
2023,2,1,19,XYZ WEB,25,31
2023,2,1,18,XYZ,1,1
2023,2,1,18,XYZ WEB,38,51
2023,2,1,17,XYZ WEB,59,79
2023,2,1,16,XYZ,2,5
2023,2,1,16,XYZ WEB,83,137
2023,2,1,15,XYZ WEB,74,112
2023,2,1,14,XYZ,1,1
2023,2,1,14,XYZ WEB,38,50
2023,2,1,13,XYZ WEB,68,93
2023,2,1,12,XYZ,3,3
2023,2,1,12,XYZ WEB,128,162
2023,2,1,11,XYZ,4,7
2023,2,1,11,XYZ WEB,55,78
2023,2,1,10,XYZ,8,17
2023,2,1,10,XYZ WEB,29,32
2023,2,1,9,XYZ WEB,28,51
2023,2,1,8,XYZ,1,1
2023,2,1,8,XYZ WEB,22,34
2023,2,1,7,XYZ WEB,20,25
2023,2,1,6,XYZ WEB,11,17
2023,2,1,5,XYZ WEB,5,5
2023,2,1,4,XYZ WEB,1,1
2023,2,1,3,XYZ WEB,7,13
2023,2,1,2,XYZ WEB,5,9
2023,2,1,1,XYZ WEB,27,31
2023,2,1,0,XYZ WEB,61,89
2023,1,31,23,XYZ WEB,44,55
2023,1,31,22,XYZ WEB,46,66
2023,1,31,21,XYZ WEB,61,75
2023,1,31,20,XYZ WEB,25,34
2023,1,31,19,XYZ WEB,33,60
2023,1,31,18,XYZ,1,1
2023,1,31,18,XYZ WEB,53,75
2023,1,31,17,XYZ WEB,35,47
2023,1,31,16,XYZ,2,3
2023,1,31,16,XYZ WEB,40,49
2023,1,31,15,XYZ,1,1
2023,1,31,15,XYZ WEB,47,65
2023,1,31,14,XYZ,2,3
2023,1,31,14,XYZ WEB,43,60
2023,1,31,13,XYZ WEB,53,78
2023,1,31,12,XYZ,3,5
2023,1,31,12,XYZ WEB,56,69
2023,1,31,11,XYZ WEB,50,79
2023,1,31,10,XYZ,1,1
2023,1,31,10,XYZ WEB,43,60
2023,1,31,9,XYZ WEB,32,44
2023,1,31,8,XYZ WEB,15,22
2023,1,31,7,XYZ WEB,3,3
2023,1,31,6,XYZ WEB,4,5
2023,1,31,5,XYZ,2,2
2023,1,31,5,XYZ WEB,1,1
2023,1,31,4,XYZ,1,2
2023,1,31,4,XYZ WEB,3,6
2023,1,31,3,XYZ WEB,1,1
2023,1,31,2,XYZ,2,2
2023,1,31,2,XYZ WEB,12,20
2023,1,31,1,XYZ,6,6
2023,1,31,1,XYZ WEB,16,19
2023,1,31,0,XYZ,16,17
2023,1,31,0,XYZ WEB,5,7
2023,2,7,23,XYZ,36,52
2023,2,7,22,XYZ,41,53
2023,2,7,21,XYZ,25,33
2023,2,7,21,XYZ WEB,2,2
2023,2,7,20,XYZ,49,58
2023,2,7,19,XYZ,23,31
2023,2,7,18,XYZ,38,52
2023,2,7,17,XYZ,41,58
2023,2,7,16,XYZ,70,85
2023,2,7,15,XYZ,63,80
2023,2,7,14,XYZ,36,47
2023,2,7,13,XYZ,55,73
2023,2,7,13,XYZ WEB,1,3
2023,2,7,12,XYZ,87,135
2023,2,7,12,XYZ WEB,1,2
2023,2,7,11,XYZ,29,45
2023,2,7,10,XYZ,32,39
2023,2,7,10,XYZ WEB,3,6
2023,2,7,9,XYZ,21,26
2023,2,7,9,XYZ WEB,1,1
2023,2,7,8,XYZ,31,37
2023,2,7,7,XYZ,8,12
2023,2,7,6,XYZ,6,6
2023,2,7,5,XYZ,3,5
2023,2,7,4,XYZ,2,2
2023,2,7,3,XYZ,2,2
2023,2,7,2,XYZ,11,14
2023,2,7,1,XYZ,44,55
2023,2,7,0,XYZ,36,41
2023,2,7,0,XYZ WEB,29,47
2023,2,8,23,XYZ,39,61
2023,2,8,22,XYZ,46,62
2023,2,8,21,XYZ,24,35
2023,2,8,21,XYZ WEB,3,7
2023,2,8,20,XYZ,40,51
2023,2,8,19,XYZ,25,27
2023,2,8,19,XYZ WEB,1,1
2023,2,8,18,XYZ,40,51
2023,2,8,17,XYZ,42,50
2023,2,8,16,XYZ,80,111
2023,2,8,15,XYZ,34,44
2023,2,8,14,XYZ,32,41
2023,2,8,13,XYZ,53,69
2023,2,8,12,XYZ,75,82
2023,2,8,11,XYZ,49,59
2023,2,8,10,XYZ,28,32
2023,2,8,9,XYZ,27,39
2023,2,8,8,XYZ,21,23
2023,2,8,7,XYZ,6,8
2023,2,8,6,XYZ,5,6
2023,2,8,5,XYZ,3,4
2023,2,8,4,XYZ,1,1
2023,2,8,3,XYZ,7,8
2023,2,8,2,XYZ,18,24
2023,2,8,1,XYZ,21,27
2023,2,8,0,XYZ,20,26
2023,2,9,23,XYZ,38,49
2023,2,9,22,XYZ,30,32
2023,2,9,21,XYZ,34,44
2023,2,9,20,XYZ,19,21
2023,2,9,19,XYZ,35,44
2023,2,9,18,XYZ,39,44
2023,2,9,17,XYZ,58,72
2023,2,9,16,XYZ,55,73
2023,2,9,15,XYZ,33,38
2023,2,9,14,XYZ,36,41
2023,2,9,13,XYZ,50,58
2023,2,9,12,XYZ,68,80
2023,2,9,11,XYZ,34,56
2023,2,9,10,XYZ,24,29
2023,2,9,9,XYZ,27,36
2023,2,9,8,XYZ,23,27
2023,2,9,7,XYZ,19,24
2023,2,9,6,XYZ,5,6
2023,2,9,5,XYZ,1,1
2023,2,9,3,XYZ,5,5
2023,2,9,2,XYZ,7,9
2023,2,9,1,XYZ,12,15
2023,2,9,0,XYZ,23,37
2023,2,10,23,XYZ,41,50
2023,2,10,22,XYZ,25,38
2023,2,10,21,XYZ,30,35
2023,2,10,20,XYZ,22,31
2023,2,10,19,XYZ,34,41
2023,2,10,18,XYZ,24,26
2023,2,10,17,XYZ,48,65
2023,2,10,16,XYZ,40,51
2023,2,10,15,XYZ,39,48
2023,2,10,14,XYZ,45,54
2023,2,10,13,XYZ,30,35
2023,2,10,12,XYZ,39,50
2023,2,10,11,XYZ,46,64
2023,2,10,10,XYZ,38,48
2023,2,10,9,XYZ,16,16
2023,2,10,9,XYZ WEB,1,2
2023,2,10,8,XYZ,19,26
2023,2,10,8,XYZ WEB,2,2
2023,2,10,7,XYZ,5,5
2023,2,10,6,XYZ,5,9
2023,2,10,5,XYZ,2,2
2023,2,10,2,XYZ,10,10
2023,2,10,1,XYZ,20,33
2023,2,10,0,XYZ,16,17
2023,2,11,23,XYZ,64,102
2023,2,11,22,XYZ,33,47
2023,2,11,21,XYZ,20,23
2023,2,11,20,XYZ,35,44
2023,2,11,19,XYZ,24,26
2023,2,11,18,XYZ,36,49
2023,2,11,17,XYZ,32,35
2023,2,11,16,XYZ,42,55
2023,2,11,15,XYZ,28,42
2023,2,11,14,XYZ,18,19
2023,2,11,13,XYZ,34,40
2023,2,11,12,XYZ,38,44
2023,2,11,11,XYZ,28,33
2023,2,11,10,XYZ,26,37
2023,2,11,9,XYZ,29,33
2023,2,11,8,XYZ,10,11
2023,2,11,7,XYZ,3,3
2023,2,11,6,XYZ,1,2
2023,2,11,5,XYZ,3,6
2023,2,11,4,XYZ,2,2
2023,2,11,3,XYZ,4,6
2023,2,11,2,XYZ,6,6
2023,2,11,1,XYZ,8,10
2023,2,11,0,XYZ,23,35
2023,2,12,23,XYZ,38,50
2023,2,12,22,XYZ,62,75
2023,2,12,21,XYZ,48,62
2023,2,12,20,XYZ,46,61
2023,2,12,19,XYZ,48,98
2023,2,12,18,XYZ,63,77
2023,2,12,17,XYZ,45,56
2023,2,12,16,XYZ,33,39
2023,2,12,15,XYZ,65,80
2023,2,12,14,XYZ,54,62
2023,2,12,13,XYZ,84,100
2023,2,12,12,XYZ,65,85
2023,2,12,11,XYZ,38,42
2023,2,12,10,XYZ,29,34
2023,2,12,9,XYZ,13,15
2023,2,12,8,XYZ,11,22
2023,2,12,7,XYZ,9,9
2023,2,12,5,XYZ,2,2
2023,2,12,4,XYZ,3,6
2023,2,12,3,XYZ,3,3
2023,2,12,2,XYZ,10,11
2023,2,12,1,XYZ,31,35
2023,2,12,0,XYZ,21,38
2023,2,13,23,XYZ,71,91
2023,2,13,22,XYZ,52,63
